Is Duplicate	URL	Title	Description	H1	Canonical
No	http://seoshnik.top/poshagovoe-rukovodstvo-po-nastroike-i-rostu-vashego-youtube	Пошаговое руководство по настройке и росту вашего YouTube. - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Пошаговое руководство по настройке и росту вашего YouTube.	
No	http://seoshnik.top/snizhenie-organicheskogo-trafika-kak-soobshchit-iavliaetsia-li-eto-otslezhivaniem-ili-optimizatsiei	Снижение органического трафика? Как сообщить, является ли это отслеживанием или оптимизацией? - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Снижение органического трафика? Как сообщить, является ли это отслеживанием или оптимизацией?	
No	http://seoshnik.top/rukovodstvo-po-migratsii-veb-saita-strategiia-seo-protsess-nbspchecklist	Руководство по миграции веб-сайта: стратегия SEO, процесс, Checklist - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Руководство по миграции веб-сайта: стратегия SEO, процесс, Checklist	
No	http://seoshnik.top/kak-nastroit-tselevye-vozmozhnosti-fragmenta-doska-i-nbspfriday	Как настроить целевые возможности фрагмента - доска Friday - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как настроить целевые возможности фрагмента - доска Friday	
No	http://seoshnik.top/page/contacts	Контакты - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Контакты	
No	http://seoshnik.top/prosto-kak-mnogo-stoit-vash-sait-tak-ili-inache-prostoe-rukovodstvo-po-otsenke	Просто как много стоит ваш сайт, так или иначе? Простое руководство по оценке - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Просто как много стоит ваш сайт, так или иначе? Простое руководство по оценке	
No	http://seoshnik.top/kak-uvelichit-kolichestvo-zakazov-i-konversii-s-pomoshchiu-google-posts-interviu-s-dzhoelom-i-khedli	Как увеличить количество заказов и конверсий с помощью Google Posts: Интервью с Джоэлом и Хэдли - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как увеличить количество заказов и конверсий с помощью Google Posts: Интервью с Джоэлом и Хэдли	
No	http://seoshnik.top/gde-clickbait-linkbait-i-viral-content-fit-v-seo-kampaniiakh-doska-obiavlenii-nbspfriday	Где Clickbait, Linkbait и Viral Content Fit в SEO-кампаниях - Доска Friday - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Где Clickbait, Linkbait и Viral Content Fit в SEO-кампаниях - Доска Friday	
No	http://seoshnik.top/page/about	Об авторе - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Об авторе	
No	http://seoshnik.top/predstavlenie-vashikh-rezultatov-kak-sozdavat-relevantnye-i-privlekatelnye-otchety-seo-next-nbsplevel	Представление ваших результатов: как создавать релевантные и привлекательные отчеты SEO - Next Level - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Представление ваших результатов: как создавать релевантные и привлекательные отчеты SEO - Next Level	
No	http://seoshnik.top/kak-diagnostirovat-trafik-trafika-seo-11-voprosov-k-nbspanswer	Как диагностировать трафик трафика SEO: 11 вопросов к Answer - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как диагностировать трафик трафика SEO: 11 вопросов к Answer	
No	http://seoshnik.top/rukovodstvo-po-marketingu-mestnykh-sponsorov-2018-god	Руководство по маркетингу местных спонсоров - 2018 год - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Руководство по маркетингу местных спонсоров - 2018 год	
No	http://seoshnik.top/kampaniia-vozvrashchaetsia-chto-delat-kogda-kontent-zakanchivaetsia-doska-i-piatnitsa-v-piatnitsu	Кампания возвращается: что делать, когда контент заканчивается - доска и пятница в пятницу - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Кампания возвращается: что делать, когда контент заканчивается - доска и пятница в пятницу	
No	http://seoshnik.top/google-podtverzhdaet-dannye-ob-ispolzovanii-chrome-ispolzuemye-dlia-izmereniia-site-nbspspeed	Google подтверждает данные об использовании Chrome, используемые для измерения Site Speed - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Google подтверждает данные об использовании Chrome, используемые для измерения Site Speed	
No	http://seoshnik.top/mozcon-2018-sozdanie-dela-dlia-konferentsii-all-nbspsnacks	MozCon 2018: создание дела для конференции (All Snacks!) - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	MozCon 2018: создание дела для конференции (All Snacks!)	
No	http://seoshnik.top/kak-borotsia-s-poddelnymi-negativnymi-otzyvami-na-nbspgoogle	Как бороться с поддельными негативными отзывами на Google - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как бороться с поддельными негативными отзывами на Google	
No	http://seoshnik.top/khotite-pogovorit-v-mozcon-2018-vot-vash-shans-shag-chtoby-stat-soobshchestvom	Хотите поговорить в MozCon 2018? Вот ваш шанс - шаг, чтобы стать сообществом! - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Хотите поговорить в MozCon 2018? Вот ваш шанс - шаг, чтобы стать сообществом!	
No	http://seoshnik.top/ustoichivoe-postroenie-ssylok-uvelichenie-vashikh-shansov-na-poluchenie-ssylok-whiteboard-nbspfriday	Устойчивое построение ссылок: увеличение ваших шансов на получение ссылок - Whiteboard Friday - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Устойчивое построение ссылок: увеличение ваших шансов на получение ссылок - Whiteboard Friday	
No	http://seoshnik.top/plan-bota-vash-putevoditel-po-razgovoram-i-konversii	План бота: ваш путеводитель по разговорам и конверсии - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	План бота: ваш путеводитель по разговорам и конверсии	
No	http://seoshnik.top/8-obshchikh-oshibok-saita-vyiavlennykh-cherez-kontent-audity	8 общих ошибок сайта, выявленных через контент. Аудиты - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	8 общих ошибок сайта, выявленных через контент. Аудиты	
No	http://seoshnik.top/kak-otkryt-izbrannye-vozmozhnosti-fragmenta-doska-i-planshety	Как открыть избранные возможности фрагмента - доска и планшеты - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как открыть избранные возможности фрагмента - доска и планшеты	
No	http://seoshnik.top/ulichnyi-sad-google-nas-vytesniaiut-iz-sobstvennykh-tsifrovykh-nakopitelei	Уличный сад Google: нас вытесняют из собственных цифровых накопителей? - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Уличный сад Google: нас вытесняют из собственных цифровых накопителей?	
No	http://seoshnik.top/post.html	Page not found at /post.html		Page not found	
No	http://seoshnik.top/kontrolnyi-spisok-zapuska-produkta-pro-marketer-dlia-2018-goda-doska-i-planshet	Контрольный список запуска продукта Pro Marketer для 2018 года - доска и планшет - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Контрольный список запуска продукта Pro Marketer для 2018 года - доска и планшет	
Yes	http://seoshnik.top/#site-menu	Блог Сеошника - Блог о SEO - Авторские статьи и переводы	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.		
No	http://seoshnik.top/oshibka-no-1-platnye-obiavleniia-po-poisku-sotsialnoi-i-indikatsii-fail-whiteboard-nbspfriday	Ошибка №1 Платные объявления (по поиску, социальной и индикации) Fail - Whiteboard Friday - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Ошибка №1 Платные объявления (по поиску, социальной и индикации) Fail - Whiteboard Friday	
